render_work	2	0	24	1
render_frames	2	441.236	440.893
# render	layer	batches	uploads	uploaded_instances	uploaded_bytes	upload_ms	pending
render	ground	1	1	1	768	1.184	0
render	hazard	0	0	0	0	0.000	0
render	water	0	0	0	0	0.000	0
render	flood	0	0	0	0	0.000	0
render	road	11	11	111	13312	0.290	0
render	footway	19	19	218	25600	0.238	0
render	kerb	19	13	222	28672	0.412	0
render	cell	9	9	70	6912	0.088	0
render	plot	2	2	32	2048	0.032	0
render	building	2	4	104	10240	0.068	0
render	roof	2	4	18	5120	0.040	0
render	hip	1	2	2	2560	0.008	0
render	paired-roof	2	4	84	10240	0.044	0
render	yard	2	2	40	4096	0.040	0
render	tree	308	82	47019	4849664	113.012	0
render	rock	61	0	0	0	4.292	0
render	traveller	1	1	1	1024	0.021	0
render	car	0	0	0	0	0.000	0
