render_work	2	0	24	1
render_frames	2	436.421	436.046
# render	layer	batches	uploads	uploaded_instances	uploaded_bytes	upload_ms	pending
render	ground	1	1	1	768	1.104	0
render	hazard	0	0	0	0	0.000	0
render	water	0	0	0	0	0.000	0
render	flood	0	0	0	0	0.000	0
render	road	11	11	111	13312	0.265	0
render	footway	19	19	218	25600	0.253	0
render	kerb	19	13	222	28672	0.423	0
render	cell	9	9	70	6912	0.100	0
render	plot	2	2	32	2048	0.031	0
render	building	2	4	104	10240	0.064	0
render	roof	2	4	18	5120	0.023	0
render	hip	1	2	2	2560	0.008	0
render	paired-roof	2	4	84	10240	0.048	0
render	yard	2	2	40	4096	0.036	0
render	tree	308	85	48599	5013504	114.619	0
render	rock	61	0	0	0	4.269	0
render	traveller	1	1	1	1024	0.014	0
render	car	0	0	0	0	0.000	0
