render_work	2	0	24	1
render_frames	2	373.596	372.792
# render	layer	batches	uploads	uploaded_instances	uploaded_bytes	upload_ms	pending
render	ground	1	1	1	768	0.974	0
render	hazard	0	0	0	0	0.000	0
render	water	0	0	0	0	0.000	0
render	flood	0	0	0	0	0.000	0
render	road	11	11	111	13312	0.235	0
render	footway	19	19	218	25600	0.222	0
render	kerb	19	13	222	28672	0.400	0
render	cell	9	9	70	6912	0.076	0
render	plot	2	2	32	2048	0.025	0
render	building	2	4	104	10240	0.055	0
render	roof	2	4	52	4096	0.033	0
render	hip	2	4	24	4096	0.018	0
render	mansard	2	4	28	4096	0.019	0
render	yard	2	2	40	4096	0.031	0
render	tree	308	85	48599	5013504	105.267	0
render	rock	61	0	0	0	4.176	0
render	traveller	1	1	1	1024	0.011	0
render	car	0	0	0	0	0.000	0
