render_work	2	0	24	1
render_frames	2	371.893	371.565
# render	layer	batches	uploads	uploaded_instances	uploaded_bytes	upload_ms	pending
render	ground	1	1	1	768	0.977	0
render	hazard	0	0	0	0	0.000	0
render	water	0	0	0	0	0.000	0
render	flood	0	0	0	0	0.000	0
render	road	11	11	111	13312	0.297	0
render	footway	19	19	218	25600	0.258	0
render	kerb	19	13	222	28672	0.409	0
render	cell	9	9	70	6912	0.081	0
render	plot	2	2	32	2048	0.026	0
render	building	2	4	104	10240	0.060	0
render	roof	2	4	52	4096	0.031	0
render	hip	2	4	24	4096	0.018	0
render	mansard	2	4	28	4096	0.019	0
render	yard	2	2	40	4096	0.032	0
render	tree	308	85	48599	5013504	103.981	0
render	rock	61	0	0	0	4.103	0
render	traveller	1	1	1	1024	0.014	0
render	car	0	0	0	0	0.000	0
