render_probe	baseline
render_work	14	0	25767	11
render_frames	14314	137727.187	8480.761
# shell_band	radius	chunk	kit	shadows	buildings	chunks	vertices	triangles	kit_pieces	collect_ms	generate_ms	upload_ms	slowest_upload_ms
# render	layer	batches	uploads	uploaded_instances	uploaded_bytes	upload_ms	pending
render	ground	1	1	1	768	2.971	0
render	hazard	0	0	0	0	0.000	0
render	water	0	0	0	0	0.000	0
render	flood	0	0	0	0	0.000	0
render	road	6733	6733	53498	6894592	111.861	0
render	footway	6966	6966	104908	7133184	165.831	0
render	kerb	6966	1329	100464	10225664	273.057	0
render	cell	145	145	290	111360	1.498	0
render	plot	1196	1196	13068	1233920	22.004	0
render	zone	3210	3210	12499	3287040	58.239	0
render	cursor	0	0	0	0	0.000	0
render	building	3200	3275	88559	7616000	167.628	0
render	roof	3042	3088	10555	3952640	106.946	0
render	hip	1481	1493	1970	1911040	35.704	0
render	paired-roof	3200	3271	38076	4654080	122.876	0
render	parapet	3199	3258	37691	4561920	127.194	0
render	yard	3200	3271	66209	5905408	166.507	0
render	tree	55006	2954	15582	3024896	1743.422	0
render	rock	10033	0	0	0	103.997	0
render	traveller	0	0	0	0	0.000	0
render	car	11	11	11	11264	0.081	0
