tick,frames,seconds,fps,ticks,step_ms,shell_ms,render_cpu_ms,gpu_ms,probe,process_cpu_ms,busy_frames,threaded,route_workers
600,1,8.739509,0.114,0,0.0000,8481.4998,0.0000,,baseline,9329.7610,0,True,1
600,1,1.533855,0.652,0,0.0000,985.9611,86.8510,8.6120,baseline,1681.7900,0,True,1
600,3,1.129189,2.657,0,0.0000,665.1727,227.3050,38.5727,baseline,1452.3060,0,True,1
600,2,3.093624,0.646,0,0.0000,2773.6836,125.2520,21.2215,baseline,3062.9950,0,True,1
600,13,1.051350,12.365,0,0.0000,142.6909,54.8129,21.4232,baseline,1159.4510,0,True,1
600,13,1.052613,12.350,0,0.0000,169.4910,54.2835,21.3842,baseline,1164.8980,0,True,1
600,13,1.009347,12.880,0,0.0000,142.3311,54.2290,20.5669,baseline,1072.9070,0,True,1
600,13,1.006712,12.913,0,0.0000,141.8627,54.4938,20.5652,baseline,1205.5820,0,True,1
600,13,1.026694,12.662,0,0.0000,158.1902,54.5105,20.5641,baseline,1102.2750,0,True,1
600,13,1.008209,12.894,0,0.0000,138.3254,54.9617,20.5495,baseline,1062.1500,0,True,1
600,13,1.011203,12.856,0,0.0000,139.8991,54.7790,20.5839,baseline,1065.3770,0,True,1
600,13,1.013393,12.828,0,0.0000,142.7004,54.7082,20.5920,baseline,1067.8540,0,True,1
600,13,1.023264,12.704,0,0.0000,159.0445,54.3024,20.5762,baseline,1077.6610,0,True,1
600,14,1.067676,13.113,0,0.0000,144.6331,53.8347,20.5663,baseline,1126.3080,0,True,1
600,13,1.009059,12.883,0,0.0000,139.7858,54.6196,20.5658,baseline,1062.8150,0,True,1
600,11,1.199572,9.170,0,0.0000,186.2506,53.8994,20.5491,shadows-off,1241.8210,0,True,1
600,2,1.940330,1.031,0,0.0000,1595.5442,127.5160,20.2120,shadows-off,5366.8050,0,True,1
600,14,1.066812,13.123,0,0.0000,146.2062,54.7560,16.8958,shadows-off,1106.5740,0,True,1
