render_probe	baseline
render_work	4	0	25767	0
render_frames	324	18712.613	8480.761
# shell_band	radius	chunk	kit	shadows	buildings	chunks	vertices	triangles	kit_pieces	collect_ms	generate_ms	upload_ms	slowest_upload_ms
# render	layer	batches	uploads	uploaded_instances	uploaded_bytes	upload_ms	pending
render	ground	1	1	1	768	2.971	0
render	hazard	0	0	0	0	0.000	0
render	water	0	0	0	0	0.000	0
render	flood	0	0	0	0	0.000	0
render	road	6733	6733	53498	6894592	111.861	0
render	footway	6966	6966	104908	7133184	165.831	0
render	kerb	6966	1272	97792	9975808	271.122	0
render	cell	145	145	290	111360	1.498	0
render	plot	1196	1196	13068	1233920	22.004	0
render	zone	3210	3210	12499	3287040	58.239	0
render	cursor	0	0	0	0	0.000	0
render	building	3200	3200	86924	7452160	143.090	0
render	roof	3042	3042	10413	3893760	85.195	0
render	hip	1481	1481	1954	1895680	25.136	0
render	paired-roof	3200	3200	37337	4533760	99.891	0
render	parapet	3199	3199	37220	4483840	104.288	0
render	yard	3200	3200	65018	5784576	143.431	0
render	tree	55006	2903	15284	2972672	1739.681	0
render	rock	10033	0	0	0	103.997	0
render	traveller	0	0	0	0	0.000	0
render	car	0	0	0	0	0.000	0
