tick,frames,seconds,fps,ticks,step_ms,shell_ms,render_cpu_ms,gpu_ms,probe,process_cpu_ms,busy_frames,threaded,route_workers
600,1,6.795612,0.147,0,0.0000,6629.1988,0.0000,,baseline,7302.0990,0,True,1
600,4,1.009390,3.963,0,0.0000,901.3102,15.5382,29.5812,baseline,1180.6800,0,True,1
600,27,1.085295,24.878,0,0.0000,843.5357,3.3660,14.9824,baseline,1352.6580,0,True,1
600,2,1.602337,1.248,0,0.0000,1591.0755,12.6180,14.7740,baseline,1839.4070,0,True,1
600,69,1.013883,68.055,0,0.0000,461.9001,2.9785,14.5736,baseline,1002.7660,0,True,1
600,68,1.010846,67.270,0,0.0000,452.4190,2.8352,14.6874,baseline,979.3520,0,True,1
600,68,1.010835,67.271,0,0.0000,456.7459,3.3931,14.7161,baseline,1886.4100,0,True,1
600,67,2.299726,29.134,0,0.0000,1764.1622,3.0245,14.5818,baseline,2538.5610,0,True,1
600,68,1.015419,66.967,0,0.0000,451.8500,2.7974,14.8255,baseline,811.8220,0,True,1
600,68,1.008393,67.434,0,0.0000,453.7219,3.0608,14.7050,baseline,1260.7130,0,True,1
600,68,1.003191,67.784,0,0.0000,453.3029,2.7762,14.6444,baseline,807.6210,0,True,1
600,68,1.003328,67.774,0,0.0000,451.2295,2.8001,14.6452,baseline,805.8460,0,True,1
600,68,1.007064,67.523,0,0.0000,450.2584,2.7108,14.6962,baseline,795.1140,0,True,1
600,68,1.004140,67.720,0,0.0000,453.9729,2.8454,14.6508,baseline,811.7240,0,True,1
600,68,1.007553,67.490,0,0.0000,453.2232,2.9137,14.7057,baseline,817.0550,0,True,1
600,62,2.277845,27.219,0,0.0000,1725.2134,3.1082,15.5430,baseline,2508.7670,0,True,1
600,5,1.881063,2.658,0,0.0000,1539.6378,7.6652,14.3336,baseline,1960.2310,0,True,1
608,67,1.001934,66.871,8,557.8579,200.5383,3.2768,14.9624,baseline,1185.7460,42,True,1
608,64,1.007151,63.546,0,0.0000,4.4034,3.3683,15.6161,baseline,1397.0970,64,True,1
610,61,1.007252,60.561,2,1994.8172,22.2016,3.4910,16.2546,baseline,1394.2550,59,True,1
621,65,2.354264,27.609,11,761.1278,1453.3600,3.1980,15.3351,baseline,2638.0970,54,True,1
630,66,1.015841,64.971,9,649.6027,179.0199,3.4409,15.2183,baseline,1237.8470,45,True,1
638,61,1.000463,60.972,8,577.6228,199.9032,3.2323,16.2796,baseline,1159.0450,36,True,1
640,62,1.004004,61.753,2,148.3313,45.5029,3.3926,16.1889,baseline,1370.5980,57,True,1
640,67,1.013631,66.099,0,0.0000,4.9906,3.5217,15.0175,baseline,1430.0540,67,True,1
647,66,1.004591,65.698,7,2581.7790,69.4751,3.3051,15.1011,baseline,1361.4390,59,True,1
655,66,1.006380,65.582,8,887.7471,79.6656,3.3483,15.1096,baseline,1337.2750,58,True,1
663,66,1.012583,65.180,8,896.5080,80.8847,3.5726,15.1833,baseline,1405.9380,58,True,1
671,66,1.012829,65.164,8,916.2050,81.4659,3.6322,15.1819,baseline,1388.6710,58,True,1
672,2,1.379889,1.449,1,110.0412,1349.8807,3.2100,14.8900,baseline,1417.3640,1,True,1
672,67,1.009528,66.368,0,0.0000,4.6780,3.5298,15.0713,baseline,1420.1670,67,True,1
673,56,1.215274,46.080,1,1871.0871,44.8115,3.3049,15.8912,baseline,1527.2810,54,True,1
676,23,1.906233,12.066,3,328.1961,1561.1229,4.1953,15.3828,baseline,2239.5030,20,True,1
683,66,1.003706,65.756,7,808.5366,73.8203,3.6491,15.1883,baseline,1376.3920,59,True,1
691,61,1.006542,60.604,8,933.1638,84.1931,3.6442,16.3629,baseline,1351.9190,53,True,1
698,60,1.014705,59.130,7,833.6169,75.3623,3.8434,16.6626,baseline,1377.1970,53,True,1
704,65,1.014341,64.081,6,677.4162,66.7569,3.4925,15.4538,baseline,1351.2370,59,True,1
704,66,1.000785,65.948,0,0.0000,4.5564,3.4125,15.0452,baseline,1377.6360,66,True,1
705,32,1.806527,17.714,1,1787.2498,1326.2337,3.3612,15.0050,baseline,2012.3980,31,True,1
715,65,1.005635,64.636,10,776.8560,109.0705,3.2976,15.3796,baseline,1298.3080,55,True,1
726,64,1.008530,63.459,11,825.0402,120.8642,3.2877,15.5418,baseline,1276.2790,53,True,1
736,59,1.000435,58.974,10,756.6232,112.6691,3.3737,16.7516,baseline,1310.2920,49,True,1
736,61,1.005187,60.685,0,0.0000,4.1640,3.2861,16.3551,baseline,1409.0580,61,True,1
741,65,1.011059,64.289,5,1952.1475,61.2106,3.3857,15.3321,baseline,1352.6750,60,True,1
752,64,1.006247,63.603,11,865.5432,128.9386,3.3069,15.3119,baseline,1334.6660,53,True,1
763,64,1.020075,62.740,11,875.8004,133.9497,3.2736,15.3073,baseline,1352.6020,53,True,1
768,66,1.011007,65.281,5,405.8226,66.3057,3.3162,15.1438,baseline,1373.1180,61,True,1
768,67,1.003220,66.785,0,0.0000,5.2103,3.4996,14.8607,baseline,1399.8230,67,True,1
769,9,1.484352,6.063,1,1659.3181,1350.3100,3.2719,14.8358,baseline,1568.7910,8,True,1
772,46,1.049349,43.837,3,360.6410,389.6208,1.2779,8.8322,baseline,1169.6360,42,True,1
775,55,2.352004,23.384,3,368.9479,1977.4841,0.7875,6.7380,baseline,2622.6160,51,True,1
775,127,1.009972,125.746,0,0.0000,872.2429,0.3833,6.3342,baseline,1063.4700,0,True,1
775,128,1.005822,127.259,0,0.0000,872.8423,0.3694,6.2688,baseline,1060.1890,0,True,1
775,127,1.004230,126.465,0,0.0000,871.2295,0.3690,6.2564,baseline,1056.2760,0,True,1
775,126,2.742605,45.942,0,0.0000,2609.8134,0.3698,6.2778,baseline,2968.6780,0,True,1
775,127,1.006953,126.123,0,0.0000,868.1642,0.3821,6.2628,baseline,1061.5530,0,True,1
775,128,1.006383,127.188,0,0.0000,874.9456,0.3667,6.2373,baseline,1060.0340,0,True,1
775,128,1.002141,127.727,0,0.0000,872.7282,0.3550,6.2240,baseline,1051.4510,0,True,1
775,127,1.007644,126.037,0,0.0000,873.9189,0.3711,6.2216,baseline,1062.8720,0,True,1
775,126,1.002253,125.717,0,0.0000,873.6235,0.3588,6.2304,baseline,1054.7240,0,True,1
775,127,1.002374,126.699,0,0.0000,872.8162,0.3595,6.2572,baseline,1059.8670,0,True,1
775,127,1.001025,126.870,0,0.0000,868.6769,0.3719,6.2313,baseline,1063.0130,0,True,1
775,126,2.700650,46.655,0,0.0000,2573.9945,0.3538,6.2505,baseline,2787.0150,0,True,1
775,2,1.004826,1.990,0,0.0000,40.3300,0.3925,6.2555,baseline,1014.7290,0,True,1
775,3,1.943729,1.543,0,0.0000,1919.0134,6.0493,9.3150,baseline,1997.6000,0,True,1
782,128,1.008849,126.877,7,861.2274,118.9043,0.4693,7.2911,baseline,1185.4010,120,True,1
787,142,1.002625,141.628,5,855.4620,84.4689,0.4234,6.6376,baseline,1252.0600,137,True,1
794,138,1.006624,137.092,7,831.5302,115.0152,0.4424,6.6663,baseline,1201.6820,131,True,1
800,140,1.002730,139.619,6,708.2760,102.3872,0.4352,6.5971,baseline,1189.0650,134,True,1
800,150,1.003550,149.469,0,0.0000,11.8097,0.4896,6.5758,baseline,1819.3730,150,True,1
801,69,2.214241,31.162,1,1740.8535,1754.6513,0.5915,6.6061,baseline,3756.3580,68,True,1
808,134,1.002570,133.657,7,835.5700,138.9751,0.4733,6.7102,baseline,1204.9310,127,True,1
814,128,1.000423,127.946,6,793.1510,142.3047,0.5909,6.6617,baseline,1200.5820,122,True,1
821,135,1.004348,134.416,7,885.6497,133.2659,0.4806,6.6577,baseline,1203.2840,128,True,1
828,136,1.006930,135.064,7,874.8253,131.7096,0.4891,6.6559,baseline,1221.6600,129,True,1
832,141,1.001525,140.785,4,488.8773,80.2842,0.4918,6.6300,baseline,1235.6720,137,True,1
832,151,1.003664,150.449,0,0.0000,11.1720,0.5038,6.5300,baseline,1280.8620,151,True,1
841,130,1.002941,129.619,9,2262.1736,174.6904,0.4405,6.6676,baseline,1199.8570,121,True,1
850,131,1.003192,130.583,9,776.0205,167.8435,0.4334,6.6722,baseline,1173.1970,122,True,1
851,7,1.790899,3.909,1,86.9072,1742.9718,0.4857,6.7183,baseline,1834.3580,6,True,1
852,15,1.098117,13.660,1,87.6333,50.1323,0.4657,6.7439,baseline,1133.6760,13,True,1
855,39,2.332285,16.722,3,261.7521,2062.3288,0.8888,6.7689,baseline,2466.5230,36,True,1
864,132,1.003956,131.480,9,785.2805,172.0034,0.4527,6.6342,baseline,1188.1130,123,True,1
864,151,1.002026,150.695,0,0.0000,10.2859,0.4770,6.5239,baseline,1249.9550,151,True,1
870,137,1.001845,136.748,6,1878.2386,118.7633,0.4574,6.6146,baseline,1243.6870,131,True,1
879,130,1.001535,129.801,9,775.0015,175.4280,0.4410,6.6414,baseline,1173.0970,121,True,1
880,6,1.873540,3.202,1,88.9987,1834.1842,0.4552,6.5493,baseline,2043.5550,5,True,1
887,127,1.000304,126.961,7,813.6892,174.6983,0.6758,6.7571,baseline,1251.2040,120,True,1
895,131,1.004151,130.458,8,751.0577,167.6046,0.5344,6.6526,baseline,1203.2420,123,True,1
896,150,1.003352,149.499,1,90.4265,30.2812,0.4777,6.4749,baseline,1238.1970,149,True,1
900,142,1.001566,141.778,4,1756.2386,86.4662,0.4504,6.5482,baseline,1209.6360,138,True,1
907,135,1.004876,134.345,7,891.1296,149.4375,0.4692,6.5455,baseline,1199.0200,128,True,1
914,137,1.001633,136.777,7,823.7859,144.3815,0.4434,6.4582,baseline,1187.4750,130,True,1
921,136,1.000063,135.991,7,821.2040,147.7533,0.4369,6.4687,baseline,1185.6540,129,True,1
928,137,1.001768,136.758,7,811.2940,146.3826,0.4282,6.4422,baseline,1179.8280,130,True,1
928,155,1.000842,154.870,0,0.0000,10.9640,0.4541,6.3447,baseline,1239.7940,155,True,1
929,21,1.853689,11.329,1,1257.3225,1720.1357,0.5065,6.3292,baseline,1919.1230,20,True,1
930,21,1.133833,18.521,1,126.2424,62.7627,0.5302,6.4554,baseline,1200.7210,19,True,1
934,53,1.054490,50.261,4,482.7008,556.8504,1.2158,9.4467,baseline,1226.5280,49,True,1
935,15,1.871428,8.015,1,117.3525,1743.8665,0.7957,9.4019,baseline,1934.1740,13,True,1
935,106,1.004377,105.538,0,0.0000,634.6228,0.6661,9.2878,baseline,877.9790,0,True,1
935,105,1.003908,104.591,0,0.0000,645.8555,0.7005,9.2892,baseline,988.7300,0,True,1
935,104,1.008996,103.073,0,0.0000,634.2171,0.8158,9.4940,baseline,1896.4900,0,True,1
935,103,2.737316,37.628,0,0.0000,2372.9829,0.7695,9.4126,baseline,3503.2510,0,True,1
935,107,1.005023,106.465,0,0.0000,648.2034,0.6813,9.2153,baseline,858.6640,0,True,1
935,104,1.007756,103.200,0,0.0000,630.1009,0.6478,9.4652,baseline,869.4680,0,True,1
935,102,1.001330,101.864,0,0.0000,613.9801,0.6523,9.6302,baseline,856.2650,0,True,1
935,107,1.006828,106.274,0,0.0000,640.9825,0.6341,9.2335,baseline,840.4940,0,True,1
935,107,1.006158,106.345,0,0.0000,639.3808,0.6404,9.2267,baseline,839.4350,0,True,1
935,107,1.007267,106.228,0,0.0000,638.4980,0.6435,9.2323,baseline,837.1350,0,True,1
935,107,1.007356,106.219,0,0.0000,639.8502,0.6700,9.2377,baseline,845.5090,0,True,1
935,103,2.699018,38.162,0,0.0000,2343.6441,0.6308,9.2764,baseline,2574.3680,0,True,1
935,4,1.002743,3.989,0,0.0000,219.8022,7.7650,9.7502,baseline,1114.7560,0,True,1
935,1,1.726119,0.579,0,0.0000,1723.9858,0.9150,8.7410,baseline,1764.9200,0,True,1
942,86,1.017760,84.499,7,803.6006,195.4815,0.8218,10.2866,baseline,1197.2430,78,True,1
949,93,1.004800,92.556,7,796.4170,181.6584,0.8135,9.3996,baseline,1186.5720,86,True,1
