tick,frames,seconds,fps,ticks,step_ms,shell_ms,render_cpu_ms,gpu_ms,probe,process_cpu_ms,busy_frames,threaded,route_workers
600,1,6.833104,0.146,0,0.0000,6668.4295,0.0000,,baseline,7339.8710,0,True,1
600,7,1.012153,6.916,0,0.0000,876.5606,10.1039,23.5223,baseline,1164.0830,0,True,1
600,26,1.096366,23.715,0,0.0000,863.3885,3.2022,14.9957,baseline,1394.5120,0,True,1
600,1,1.472242,0.679,0,0.0000,1466.6747,22.2170,15.4080,baseline,1513.5930,0,True,1
600,69,1.014630,68.005,0,0.0000,459.2440,2.8553,14.5957,baseline,984.6470,0,True,1
600,68,1.001049,67.929,0,0.0000,451.2131,2.7378,14.6157,baseline,804.6240,0,True,1
600,67,1.009817,66.349,0,0.0000,453.8971,3.3204,14.8707,baseline,1854.8690,0,True,1
600,68,1.001870,67.873,0,0.0000,453.9390,3.3046,14.6192,baseline,1736.5770,0,True,1
600,69,1.013951,68.051,0,0.0000,461.2853,2.7468,14.5802,baseline,803.4010,0,True,1
600,67,1.006012,66.600,0,0.0000,450.0992,2.7587,14.8964,baseline,846.4050,0,True,1
600,64,1.004742,63.698,0,0.0000,430.2730,2.8242,15.5915,baseline,785.2390,0,True,1
600,68,1.001361,67.908,0,0.0000,452.7182,2.6972,14.6122,baseline,789.5810,0,True,1
600,68,1.002828,67.808,0,0.0000,456.3404,2.8597,14.6281,baseline,807.2690,0,True,1
600,67,1.010552,66.300,0,0.0000,480.8444,3.4510,14.8263,baseline,890.4060,0,True,1
600,67,1.002280,66.848,0,0.0000,509.3033,3.0613,14.5927,baseline,876.8870,0,True,1
600,62,2.278443,27.212,0,0.0000,1834.0033,2.9336,14.8242,baseline,2314.3000,0,True,1
600,4,1.869483,2.140,0,0.0000,1505.9863,10.6798,14.4445,shadows-off,2156.5380,0,True,1
600,81,1.009520,80.236,0,0.0000,555.6243,3.5723,11.1555,shadows-off,1032.8170,0,True,1
600,88,1.010732,87.066,0,0.0000,581.9522,3.0117,10.8938,shadows-off,1088.0270,0,True,1
600,74,1.002994,73.779,0,0.0000,506.0466,3.7900,11.9366,shadows-off,1612.8690,0,True,1
600,78,1.006084,77.528,0,0.0000,628.4707,3.0897,10.7212,shadows-off,1181.1040,0,True,1
600,80,1.008928,79.292,0,0.0000,644.4088,2.8318,10.7135,shadows-off,1036.1790,0,True,1
600,78,1.004137,77.679,0,0.0000,630.4010,2.9707,10.7798,shadows-off,1035.9650,0,True,1
600,79,1.007331,78.425,0,0.0000,627.1217,3.0857,10.7363,shadows-off,1037.9530,0,True,1
600,87,1.002977,86.742,0,0.0000,613.1106,2.7180,10.7662,shadows-off,1018.2380,0,True,1
600,79,1.004025,78.683,0,0.0000,588.1659,3.1946,11.1587,shadows-off,1781.6670,0,True,1
600,90,1.002039,89.817,0,0.0000,600.7102,2.5324,10.7570,shadows-off,1227.4130,0,True,1
600,84,1.004070,83.659,0,0.0000,565.9113,2.9381,11.4777,shadows-off,1797.5660,0,True,1
600,74,2.211591,33.460,0,0.0000,1817.5931,3.1832,10.8928,shadows-off,2911.6720,0,True,1
600,16,2.733889,5.852,0,0.0000,2388.6523,2.3998,5.7620,baseline,2852.3910,0,True,1
600,131,1.009865,129.720,0,0.0000,870.4425,0.3778,6.1737,baseline,1075.3940,0,True,1
600,116,1.008482,115.024,0,0.0000,843.6021,0.5117,6.2885,baseline,1074.6230,0,True,1
600,115,1.000337,114.961,0,0.0000,836.6687,0.5200,6.2733,baseline,1067.8510,0,True,1
600,107,1.007402,106.214,0,0.0000,863.4518,0.4868,6.2473,baseline,1065.7620,0,True,1
600,104,1.004075,103.578,0,0.0000,854.2810,0.5187,6.2668,baseline,1066.6160,0,True,1
600,124,1.006370,123.215,0,0.0000,876.0630,0.3795,6.1753,baseline,1066.4830,0,True,1
600,135,1.004033,134.458,0,0.0000,876.9641,0.3381,6.1515,baseline,1061.8040,0,True,1
600,133,1.000232,132.969,0,0.0000,874.3427,0.3387,6.1433,baseline,1058.2670,0,True,1
600,134,1.004892,133.348,0,0.0000,877.0001,0.3452,6.1456,baseline,1063.5000,0,True,1
600,121,1.002682,120.676,0,0.0000,881.3538,0.3604,6.1423,baseline,1059.6270,0,True,1
600,133,1.003802,132.496,0,0.0000,873.8593,0.3498,6.1218,baseline,1064.5770,0,True,1
600,126,2.632057,47.871,0,0.0000,2506.7828,0.3486,6.1066,baseline,2734.5890,0,True,1
600,2,1.020017,1.961,0,0.0000,42.0989,0.4275,6.0450,shadows-off,1053.8010,0,True,1
600,2,1.883495,1.062,0,0.0000,1858.2250,9.2530,6.9790,shadows-off,1959.8800,0,True,1
600,116,1.007964,115.083,0,0.0000,890.6710,0.3058,4.4351,shadows-off,1046.9880,0,True,1
600,107,1.002504,106.733,0,0.0000,890.2842,0.3256,4.0486,shadows-off,1037.5560,0,True,1
600,125,1.008633,123.930,0,0.0000,879.4439,0.3206,4.0107,shadows-off,1050.8250,0,True,1
600,119,1.006224,118.264,0,0.0000,881.2984,0.3288,4.0242,shadows-off,1044.9140,0,True,1
600,129,1.005968,128.235,0,0.0000,887.8145,0.2771,3.9822,shadows-off,1043.2130,0,True,1
600,139,1.000286,138.960,0,0.0000,881.1605,0.2536,3.9742,shadows-off,1036.7460,0,True,1
600,139,1.001791,138.751,0,0.0000,881.4176,0.2575,3.9740,shadows-off,1036.6800,0,True,1
600,140,1.004880,139.320,0,0.0000,886.8395,0.2570,3.9562,shadows-off,1043.9650,0,True,1
600,139,1.002210,138.694,0,0.0000,882.4952,0.2582,3.9667,shadows-off,1038.7060,0,True,1
600,140,1.003913,139.454,0,0.0000,885.9134,0.2503,3.9739,shadows-off,1040.0330,0,True,1
600,139,1.005689,138.214,0,0.0000,886.0575,0.2553,3.9790,shadows-off,1044.2510,0,True,1
600,131,2.642251,49.579,0,0.0000,2524.1844,0.2703,3.9923,shadows-off,2848.6970,0,True,1
600,3,1.316320,2.279,0,0.0000,345.6803,0.3477,3.8967,baseline,1414.4670,0,True,1
600,1,1.620484,0.617,0,0.0000,1617.0941,18.3820,8.5630,baseline,1674.5820,0,True,1
600,132,1.008244,130.921,0,0.0000,872.3506,0.3884,5.5773,baseline,1089.0830,0,True,1
600,120,1.009043,118.925,0,0.0000,873.8971,0.4148,5.5890,baseline,1066.0290,0,True,1
600,111,1.002051,110.773,0,0.0000,864.1336,0.4429,5.6366,baseline,1059.6540,0,True,1
600,113,1.007487,112.160,0,0.0000,876.6242,0.4315,5.6060,baseline,1068.4850,0,True,1
600,120,1.001722,119.794,0,0.0000,869.3453,0.4086,5.6068,baseline,1061.9140,0,True,1
600,126,1.003095,125.611,0,0.0000,868.2733,0.3944,5.6274,baseline,1063.6570,0,True,1
600,123,1.008436,121.971,0,0.0000,873.8575,0.4027,5.6252,baseline,1061.1470,0,True,1
600,129,1.005613,128.280,0,0.0000,861.1582,0.4105,5.6414,baseline,1064.8670,0,True,1
600,114,1.002505,113.715,0,0.0000,866.1712,0.4413,5.6191,baseline,1058.2530,0,True,1
600,122,1.006145,121.255,0,0.0000,858.5393,0.4087,5.5851,baseline,1043.9800,0,True,1
600,112,1.006630,111.262,0,0.0000,870.5659,0.4507,5.6213,baseline,1052.7690,0,True,1
600,124,2.616757,47.387,0,0.0000,2489.8387,0.3787,5.6111,baseline,2734.3470,0,True,1
