render_probe	shadows-off
render_work	11	0	25767	0
render_frames	13998	137021.642	6667.664
# render_info	pass	objects	draw_calls	primitives
render_info	Visible	183	183	448742
render_info	Shadow	0	0	0
# shell_band	radius	chunk	kit	shadows	buildings	chunks	vertices	triangles	kit_pieces	collect_ms	generate_ms	upload_ms	slowest_upload_ms
shell_band	500	64	15	on	327	175	1096992	548286	4905	71.761	32.069	90.532	2.938
# render	layer	batches	uploads	uploaded_instances	uploaded_bytes	upload_ms	pending
render	ground	1	1	1	768	2.909	0
render	hazard	0	0	0	0	0.000	0
render	water	0	0	0	0	0.000	0
render	flood	0	0	0	0	0.000	0
render	road	481	481	53498	6450176	62.320	0
render	footway	511	511	104908	6947840	101.707	0
render	kerb	511	96	112896	10911744	234.275	0
render	cell	37	37	290	28416	0.631	0
render	plot	240	240	13068	983040	14.126	0
render	zone	242	242	12499	862208	13.415	0
render	cursor	0	0	0	0	0.000	0
render	building	242	258	93289	9013760	101.738	0
render	roof	240	253	11087	1221120	16.587	0
render	hip	227	235	2019	305920	6.046	0
render	paired-roof	242	258	40104	4432640	52.943	0
render	parapet	242	258	39861	4433920	47.613	0
render	yard	242	258	69818	6842368	80.960	0
render	tree	3456	200	18253	1613824	1471.871	0
render	rock	801	0	0	0	78.119	0
render	traveller	0	0	0	0	0.000	0
render	car	0	0	0	0	0.000	0
