day,households,businesses,treasury,income,grants,placement,residual,paid,shortfall,bankrupted,purchases,bought,delivered,school_workers,school_jobs,school_places,hungry
1,360,3,3964928,32768,0,262144,0,0,0,0,204,9440,9440,5,5,32,0
2,360,5,4009984,98304,20480,262144,0,0,0,0,509,27776,27776,5,5,32,53
3,360,6,4071424,180224,40960,262144,0,0,0,0,725,42600,42600,5,5,32,0
4,360,8,4132864,262144,61440,262144,0,0,0,0,900,54096,54096,5,5,32,0
5,360,9,4229108,378868,81920,262144,0,61440,20480,0,1084,66164,66164,5,5,32,0
6,360,11,4302788,473028,102400,262144,0,122880,20480,0,1242,76664,76664,5,5,32,0
7,360,12,4462468,653188,122880,262144,0,204800,20480,0,1430,89420,89420,5,5,32,0
8,360,14,4601684,812884,143360,262144,0,266240,20480,0,1584,99716,99716,5,5,32,0
9,360,16,4786043,1017723,163840,262144,0,308288,39872,0,1767,112096,112096,5,5,32,0
10,360,18,4978555,1230715,184320,262144,0,308288,39872,0,1924,122976,122976,5,5,32,0
11,360,19,5205403,1478043,204800,262144,0,398400,39872,0,2107,135588,135588,5,5,32,0
12,360,20,5457279,1750399,225280,262144,0,541760,39872,0,2259,146104,146104,5,5,32,0
13,360,22,5746743,2060343,245760,262144,0,699644,56068,0,2438,158532,158532,5,5,32,0
14,360,24,6027245,2361325,266240,262144,0,812868,96444,0,2579,168496,168496,5,5,32,0
15,360,25,6334829,2689389,286720,262144,0,897548,124404,0,2760,181276,181276,5,5,32,0
16,360,26,6642447,3017487,307200,262144,0,1065376,179588,0,2919,192532,192532,5,5,32,0
17,360,28,6966031,3361551,327680,262144,0,1065376,179588,0,3080,203712,203712,5,5,32,0
18,360,29,7348289,3764289,348160,262144,0,1279600,276660,0,3256,216152,216152,5,5,32,0
19,360,31,7735128,4171608,368640,262144,0,1443504,340084,0,3406,226628,226628,5,5,32,0
20,360,31,8113189,4570149,389120,262144,0,1635228,393932,0,3582,238966,238966,5,5,32,0
21,360,31,8460030,4937470,409600,262144,0,1752696,507888,0,3735,249655,249655,5,5,32,0
22,360,31,8818966,5316886,430080,262144,0,1848428,588284,0,3911,261899,261899,5,5,32,0
23,360,32,9230815,5749215,450560,262144,0,2046388,698896,0,4059,272102,272102,5,5,32,0
24,360,32,9606487,6145367,471040,262144,0,2062136,754828,0,4233,284096,284096,5,5,32,4
25,360,32,9963596,6522956,491520,262144,0,2313968,945408,0,4373,293833,293833,5,5,32,7
26,360,32,10353720,6933560,512000,262144,0,2495388,1167380,0,4541,305429,305429,5,5,32,14
27,360,32,10723602,7323922,532480,262144,0,2646162,1271346,0,4684,315328,315328,5,5,32,17
28,360,32,11072246,7693046,552960,262144,0,2772548,1386624,0,4833,325521,325521,5,5,32,25
29,360,32,11403975,8045255,573440,262144,0,2896918,1518466,0,4989,336495,336495,5,5,32,28
30,360,32,11728636,8390396,593920,262144,0,2986718,1800810,0,5121,345581,345581,5,5,32,35
31,360,32,12043770,8726010,614400,262144,0,3027892,1893892,0,5277,356228,356228,5,5,32,41
32,360,32,12384383,9087103,634880,262144,0,3197667,2178273,0,5407,365335,365335,5,5,32,45
33,360,32,12722109,9445309,655360,262144,0,3362207,2449529,0,5557,375596,375596,5,5,32,49
34,360,32,13071397,9815077,675840,262144,0,3491883,2592237,0,5686,384414,384414,5,5,32,53
35,360,32,13369757,10133917,696320,262144,0,3612380,2713404,0,5833,394256,394256,5,5,32,59
36,360,32,13663674,10448314,716800,262144,0,3711162,2886618,0,5952,402538,402538,5,5,32,61
37,360,32,13865738,10670858,737280,262144,0,3761266,3252470,0,6095,412303,412303,5,5,32,70
38,360,32,14161602,10987202,757760,262144,0,3787630,3357178,0,6225,421175,421175,5,5,32,72
39,360,32,14364368,11210448,778240,262144,0,3841654,3786269,0,6346,429329,429329,5,5,32,75
40,360,32,14685722,11552282,798720,262144,0,4006562,4065470,0,6476,438343,438343,5,5,32,79
41,353,32,15019737,11801991,819200,262144,104786,4109661,4242947,0,6587,446039,446039,5,5,32,85
42,344,32,15380525,12020081,839680,262144,267964,4218442,4367638,0,6716,454908,454908,5,5,32,85
43,337,32,15667179,12283427,860160,262144,311752,4307561,4545941,0,6818,461994,461994,5,5,32,86
44,326,32,16018953,12440858,880640,262144,526575,4359595,4895315,0,6937,470036,470036,5,5,32,88
45,311,32,16433074,12646945,901120,262144,755089,4408039,4957463,0,7028,476358,476358,5,5,32,85
46,301,32,16665238,12823801,921600,262144,830877,4475877,5382599,0,7141,483793,483793,5,5,32,82
47,292,32,17010543,13053622,942080,262144,966841,4653624,5631793,0,7221,489351,489351,5,5,32,83
48,278,32,17483689,13280025,962560,262144,1234064,4722474,5841318,0,7333,496440,496440,5,5,32,81
49,269,32,17858660,13383431,983040,262144,1526109,4831546,5944564,0,7411,501861,501861,5,5,32,77
50,260,32,18195173,13532250,1003520,262144,1734283,4921940,6134746,0,7498,507692,507692,5,5,32,85
51,251,32,18479818,13687662,1024000,262144,1883996,4963671,6461823,0,7570,512614,512614,5,5,32,83
52,244,32,18643286,13789522,1044480,262144,1966084,4982541,6553545,0,7648,517526,517526,5,5,32,83
53,237,32,18857011,13913813,1064960,262144,2075998,5033983,6958765,0,7724,522724,522724,5,5,32,82
54,230,32,19080274,14037824,1085440,262144,2195730,5186962,7178522,0,7789,527233,527233,5,5,32,79
55,225,32,19221967,14138088,1105920,262144,2257639,5279878,7390758,0,7871,532484,532484,5,5,32,73
56,216,32,19499866,14241220,1126400,262144,2452886,5386937,7496691,0,7926,536383,536383,5,5,32,73
