day,households,businesses,treasury,income,grants,placement,residual,paid,shortfall,bankrupted,purchases,bought,delivered,school_workers,school_jobs,school_places,hungry
1,360,3,3964928,32768,0,262144,0,0,0,0,204,9440,9440,5,5,32,0
2,360,5,3989504,98304,40960,262144,0,0,0,0,509,27776,27776,5,5,32,53
3,360,6,4030464,180224,81920,262144,0,0,0,0,725,42600,42600,5,5,32,0
4,360,8,4071424,262144,122880,262144,0,0,0,0,900,54096,54096,5,5,32,0
5,360,9,4171758,403438,163840,262144,0,122880,40960,0,1084,66164,66164,5,5,32,0
6,360,11,4224958,497598,204800,262144,0,184320,40960,0,1242,76664,76664,5,5,32,0
7,360,12,4364158,677758,245760,262144,0,266240,40960,0,1430,89420,89420,5,5,32,0
8,360,14,4482894,837454,286720,262144,0,327680,40960,0,1584,99716,99716,5,5,32,0
9,360,16,4646773,1042293,327680,262144,0,369728,60352,0,1767,112096,112096,5,5,32,0
10,360,18,4818805,1255285,368640,262144,0,369728,60352,0,1924,122976,122976,5,5,32,0
11,360,19,5025173,1502613,409600,262144,0,459840,60352,0,2107,135588,135588,5,5,32,0
12,360,20,5313899,1832299,450560,262144,0,746560,60352,0,2259,146104,146104,5,5,32,0
13,360,22,5582883,2142243,491520,262144,0,904444,76548,0,2438,158532,158532,5,5,32,0
14,360,24,5842905,2443225,532480,262144,0,1017668,116924,0,2579,168496,168496,5,5,32,0
15,360,25,6130009,2771289,573440,262144,0,1102348,144884,0,2760,181276,181276,5,5,32,0
16,360,26,6417147,3099387,614400,262144,0,1270176,200068,0,2919,192532,192532,5,5,32,0
17,360,28,6720251,3443451,655360,262144,0,1270176,200068,0,3080,203712,203712,5,5,32,0
18,360,29,7082029,3846189,696320,262144,0,1484400,297140,0,3256,216152,216152,5,5,32,0
19,360,31,7505718,4310838,737280,262144,0,1791664,360564,0,3406,226628,226628,5,5,32,0
20,360,31,7863299,4709379,778240,262144,0,1983388,414412,0,3582,238966,238966,5,5,32,0
21,360,31,8189660,5076700,819200,262144,0,2100856,528368,0,3735,249655,249655,5,5,32,0
22,360,31,8528116,5456116,860160,262144,0,2196588,608764,0,3911,261899,261899,5,5,32,0
23,360,32,8919485,5888445,901120,262144,0,2394548,719376,0,4059,272102,272102,5,5,32,0
24,360,32,9274677,6284597,942080,262144,0,2410296,775308,0,4233,284096,284096,5,5,32,4
25,360,32,9611306,6662186,983040,262144,0,2662128,965888,0,4373,293833,293833,5,5,32,7
26,360,32,10038280,7130120,1024000,262144,0,2986908,1187860,0,4541,305429,305429,5,5,32,14
27,360,32,10387682,7520482,1064960,262144,0,3137682,1291826,0,4684,315328,315328,5,5,32,17
28,360,32,10715846,7889606,1105920,262144,0,3264068,1407104,0,4833,325521,325521,5,5,32,25
29,360,32,11027095,8241815,1146880,262144,0,3388438,1538946,0,4989,336495,336495,5,5,32,28
30,360,32,11331276,8586956,1187840,262144,0,3478238,1821290,0,5121,345581,345581,5,5,32,35
31,360,32,11625930,8922570,1228800,262144,0,3519412,1914372,0,5277,356228,356228,5,5,32,41
32,360,32,11946063,9283663,1269760,262144,0,3689187,2198753,0,5407,365335,365335,5,5,32,45
33,360,32,12320639,9699199,1310720,262144,0,3997087,2470009,0,5557,375596,375596,5,5,32,49
34,360,32,12649447,10068967,1351680,262144,0,4126763,2612717,0,5686,384414,384414,5,5,32,53
35,360,32,12927327,10387807,1392640,262144,0,4247260,2733884,0,5833,394256,394256,5,5,32,59
36,360,32,13200764,10702204,1433600,262144,0,4346042,2907098,0,5952,402538,402538,5,5,32,61
37,360,32,13382348,10924748,1474560,262144,0,4396146,3272950,0,6095,412303,412303,5,5,32,70
38,360,32,13657732,11241092,1515520,262144,0,4422510,3377658,0,6225,421175,421175,5,5,32,72
39,360,32,13840018,11464338,1556480,262144,0,4476534,3806749,0,6346,429329,429329,5,5,32,75
40,360,32,14198222,11863502,1597440,262144,0,4784802,4085950,0,6476,438343,438343,5,5,32,79
41,353,32,14511757,12113211,1638400,262144,104786,4887901,4263427,0,6587,446039,446039,5,5,32,85
42,344,32,14852065,12331301,1679360,262144,267964,4996682,4388118,0,6716,454908,454908,5,5,32,85
43,337,32,15118239,12594647,1720320,262144,311752,5085801,4566421,0,6818,461994,461994,5,5,32,86
44,326,32,15449533,12752078,1761280,262144,526575,5137835,4915795,0,6937,470036,470036,5,5,32,88
45,311,32,15843174,12958165,1802240,262144,755089,5186279,4977943,0,7028,476358,476358,5,5,32,85
46,301,32,16054858,13135021,1843200,262144,830877,5254117,5403079,0,7141,483793,483793,5,5,32,82
47,292,32,16437013,13422172,1884160,262144,966841,5575224,5652273,0,7221,489351,489351,5,5,32,83
48,278,32,16889679,13648575,1925120,262144,1234064,5644074,5861798,0,7333,496440,496440,5,5,32,81
49,269,32,17357238,13751981,1966080,262144,1639177,5753146,5965044,0,7411,501861,501861,5,5,32,77
50,260,32,17673271,13900800,2007040,262144,1847351,5843540,6155226,0,7498,507692,507692,5,5,32,85
51,251,32,18050504,14056212,2048000,262144,2110132,5885271,6482303,0,7570,512614,512614,5,5,32,83
52,244,32,18193492,14158072,2088960,262144,2192220,5904141,6574025,0,7648,517526,517526,5,5,32,83
53,237,32,18386737,14282363,2129920,262144,2302134,5955583,6979245,0,7724,522724,522724,5,5,32,82
54,230,32,18644396,14453876,2170880,262144,2429240,6227346,7199002,0,7789,527233,527233,5,5,32,79
55,225,32,18765609,14554140,2211840,262144,2491149,6320262,7411238,0,7871,532484,532484,5,5,32,73
56,216,32,19023028,14657272,2252800,262144,2686396,6427321,7517171,0,7926,536383,536383,5,5,32,73
