day,households,businesses,treasury,income,grants,placement,residual,paid,shortfall,bankrupted,purchases,bought,delivered,school_workers,school_jobs,school_places,hungry
1,360,3,3964928,32768,0,262144,0,0,0,0,204,9440,9440,5,5,32,0
2,360,5,4009984,98304,20480,262144,0,0,0,0,509,27776,27776,5,5,32,53
3,360,6,4071424,180224,40960,262144,0,0,0,0,725,42600,42600,5,5,32,0
4,360,8,4132864,262144,61440,262144,0,0,0,0,900,54096,54096,5,5,32,0
5,360,9,4231978,381738,81920,262144,0,61440,102400,0,1084,66164,66164,5,5,32,0
6,360,11,4305658,475898,102400,262144,0,122880,102400,0,1242,76664,76664,5,5,32,0
7,360,12,4465338,656058,122880,262144,0,204800,102400,0,1430,89420,89420,5,5,32,0
8,360,14,4604554,815754,143360,262144,0,266240,102400,0,1584,99716,99716,5,5,32,0
9,360,16,4788913,1020593,163840,262144,0,308288,121792,0,1767,112096,112096,5,5,32,0
10,360,18,4981425,1233585,184320,262144,0,308288,121792,0,1924,122976,122976,5,5,32,0
11,360,19,5208273,1480913,204800,262144,0,398400,121792,0,2107,135588,135588,5,5,32,0
12,360,20,5467119,1760239,225280,262144,0,541760,265152,0,2259,146104,146104,5,5,32,0
13,360,22,5756583,2070183,245760,262144,0,699644,281348,0,2438,158532,158532,5,5,32,0
14,360,24,6037085,2371165,266240,262144,0,812868,321724,0,2579,168496,168496,5,5,32,0
15,360,25,6344669,2699229,286720,262144,0,897548,349684,0,2760,181276,181276,5,5,32,0
16,360,26,6652287,3027327,307200,262144,0,1065376,404868,0,2919,192532,192532,5,5,32,0
17,360,28,6975871,3371391,327680,262144,0,1065376,404868,0,3080,203712,203712,5,5,32,0
18,360,29,7358129,3774129,348160,262144,0,1279600,501940,0,3256,216152,216152,5,5,32,0
19,360,30,7772418,4188418,348160,262144,0,1443504,708724,1,3406,226628,226628,0,0,0,0
20,360,30,8170959,4586959,348160,262144,0,1635228,762572,1,3582,238966,238966,0,0,0,0
21,360,30,8538280,4954280,348160,262144,0,1752696,876528,1,3735,249655,249655,0,0,0,0
22,360,30,8917696,5333696,348160,262144,0,1848428,956924,1,3911,261899,261899,0,0,0,0
23,360,31,9350025,5766025,348160,262144,0,2046388,1067536,1,4059,272102,272102,0,0,0,0
24,360,31,9746177,6162177,348160,262144,0,2062136,1123468,1,4233,284096,284096,0,0,0,4
25,360,31,10123766,6539766,348160,262144,0,2313968,1314048,1,4373,293833,293833,0,0,0,7
26,360,31,10491390,6907390,348160,262144,0,2352028,1536020,1,4541,305429,305429,0,0,0,14
27,360,31,10881752,7297752,348160,262144,0,2502802,1639986,1,4684,315273,315273,0,0,0,17
28,360,31,11250876,7666876,348160,262144,0,2629188,1755264,1,4833,325466,325466,0,0,0,25
29,360,31,11603085,8019085,348160,262144,0,2753558,1887106,1,4988,336372,336372,0,0,0,28
30,360,31,11948226,8364226,348160,262144,0,2843358,2169450,1,5120,345458,345458,0,0,0,36
31,360,31,12283840,8699840,348160,262144,0,2884532,2262532,1,5276,356105,356105,0,0,0,42
32,360,31,12644933,9060933,348160,262144,0,3054307,2546913,1,5405,365132,365132,0,0,0,46
33,360,31,12960159,9376159,348160,262144,0,3075487,2818169,1,5556,375397,375397,0,0,0,50
34,360,31,13313543,9729543,348160,262144,0,3204879,2961161,1,5684,384147,384147,0,0,0,54
35,360,31,13632323,10048323,348160,262144,0,3325198,3082506,1,5830,393995,393995,0,0,0,60
36,360,31,13946638,10362638,348160,262144,0,3423572,3256128,1,5948,402209,402209,0,0,0,62
37,360,31,14170805,10586805,348160,262144,0,3481830,3613826,1,6091,411978,411978,0,0,0,71
38,360,31,14487092,10903092,348160,262144,0,3507675,3719053,1,6220,420740,420740,0,0,0,74
39,360,31,14709066,11125066,348160,262144,0,3555191,4154652,1,6341,428898,428898,0,0,0,76
40,360,31,15007831,11423831,348160,262144,0,3576291,4434301,1,6469,437779,437779,0,0,0,80
41,353,31,15362430,11673432,348160,262144,104998,3679001,4612167,1,6580,445478,445478,0,0,0,87
42,344,31,15743798,11891542,348160,262144,268256,3787884,4736756,1,6708,454284,454284,0,0,0,87
43,337,31,16051000,12154888,348160,262144,312112,3877063,4915407,1,6809,461290,461290,0,0,0,88
44,326,31,16422233,12311513,348160,262144,526720,3925098,5264730,1,6928,469269,469269,0,0,0,90
45,311,31,16857079,12517611,348160,262144,755468,3973598,5326822,1,7019,475524,475524,0,0,0,87
46,301,31,17109657,12694253,348160,262144,831404,4040384,5755425,1,7131,482896,482896,0,0,0,84
47,292,31,17415458,12864573,348160,262144,966885,4074417,6005421,1,7211,488379,488379,0,0,0,85
48,278,31,17925552,13107192,348160,262144,1234360,4142427,6216243,1,7323,495461,495461,0,0,0,83
49,269,31,18227002,13210541,348160,262144,1432461,4251215,6319671,1,7399,500748,500748,0,0,0,79
50,260,31,18582786,13357802,348160,262144,1640984,4334016,6517446,1,7485,506499,506499,0,0,0,86
51,251,31,18849465,13513049,348160,262144,1752416,4375001,6845269,1,7557,511287,511287,0,0,0,86
52,244,31,19017266,13598410,348160,262144,1834856,4392781,6938081,1,7634,516134,516134,0,0,0,85
53,237,31,19263214,13738550,348160,262144,1940664,4441355,7350887,1,7710,521283,521283,0,0,0,85
54,230,31,19446669,13810319,348160,262144,2052350,4474508,7571686,1,7773,525671,525671,0,0,0,82
55,225,31,19624603,13926344,348160,262144,2114259,4564861,7786485,1,7855,530936,530936,0,0,0,76
56,216,31,19922227,14028637,348160,262144,2309590,4667681,7896657,1,7909,534702,534702,0,0,0,76
