id,draw_index,width_m,depth_m,wall_m,storeys,floor_m2,tenancies,jobs_per_premised_business
1,0,36.0,20.0,7.0,2,1440,3,10
2,1,32.0,24.0,10.5,3,2304,5,9
3,2,24.0,16.0,10.5,3,1152,2,12
4,3,52.0,24.0,7.0,2,2496,6,8
5,4,60.0,24.0,10.5,3,4320,10,9
6,5,28.0,28.0,7.0,2,1568,3,10
7,6,20.0,28.0,10.5,3,1680,4,8
8,7,28.0,60.0,7.0,2,3360,8,8
9,8,24.0,20.0,7.0,2,960,2,10
10,9,28.0,20.0,10.5,3,1680,4,8
11,10,20.0,28.0,7.0,2,1120,2,11
12,11,24.0,32.0,7.0,2,1536,3,10
13,12,32.0,20.0,7.0,2,1280,3,8
14,13,36.0,16.0,7.0,2,1152,2,12
15,14,20.0,20.0,10.5,3,1200,3,8
16,15,40.0,24.0,10.5,3,2880,7,8
17,16,32.0,16.0,10.5,3,1536,3,10
18,17,32.0,20.0,10.5,3,1920,4,10
19,18,28.0,16.0,10.5,3,1344,3,9
20,19,40.0,28.0,10.5,3,3360,8,8
21,20,28.0,20.0,10.5,3,1680,4,8
22,21,52.0,20.0,10.5,3,3120,7,9
23,22,56.0,28.0,10.5,3,4704,11,8
24,23,16.0,20.0,10.5,3,960,2,10
25,24,24.0,24.0,7.0,2,1152,2,12
26,25,28.0,20.0,7.0,2,1120,2,11
27,26,44.0,16.0,7.0,2,1408,3,9
28,27,24.0,24.0,10.5,3,1728,4,9
29,28,60.0,16.0,7.0,2,1920,4,10
30,29,56.0,24.0,10.5,3,4032,10,8
31,30,20.0,28.0,7.0,2,1120,2,11
32,31,28.0,20.0,7.0,2,1120,2,11
33,32,16.0,56.0,10.5,3,2688,6,9
34,33,20.0,28.0,10.5,3,1680,4,8
35,34,20.0,20.0,10.5,3,1200,3,8
36,35,28.0,16.0,10.5,3,1344,3,9
37,36,28.0,20.0,10.5,3,1680,4,8
38,37,32.0,28.0,7.0,2,1792,4,9
39,38,36.0,20.0,10.5,3,2160,5,9
40,39,32.0,20.0,7.0,2,1280,3,8
41,40,24.0,20.0,10.5,3,1440,3,10
42,41,36.0,24.0,10.5,3,2592,6,9
43,42,40.0,24.0,10.5,3,2880,7,8
44,43,40.0,24.0,10.5,3,2880,7,8
45,44,36.0,24.0,7.0,2,1728,4,9
46,45,20.0,20.0,10.5,3,1200,3,8
47,46,60.0,24.0,10.5,3,4320,10,9
48,47,48.0,28.0,10.5,3,4032,10,8
49,48,20.0,24.0,7.0,2,960,2,10
50,49,28.0,16.0,10.5,3,1344,3,9
51,50,52.0,20.0,10.5,3,3120,7,9
52,51,24.0,24.0,10.5,3,1728,4,9
