example_id,draw_index,building_id,east_west_m,south_north_m,wall_m,storeys,footprint_m2,floor_m2,floor_tiles,tenancy_capacity,jobs_per_premised_business,roof,roof_rise_m,roof_cross_span_including_eaves_m,roof_pitch_degrees
G001,0,1,36.0,20.0,7.0,2,720.0,1440,90,3,10,paired-roof,2.676,10.35,27.344
G002,1,2,32.0,24.0,10.5,3,768.0,2304,144,5,9,paired-roof,3.249,12.35,27.751
G003,2,3,24.0,16.0,10.5,3,384.0,1152,72,2,12,roof,4.125,16.7,26.29
G004,3,4,52.0,24.0,7.0,2,1248.0,2496,156,6,8,paired-roof,4.068,12.35,33.376
G005,4,5,60.0,24.0,10.5,3,1440.0,4320,270,10,9,paired-roof,3.278,12.35,27.962
G006,5,6,28.0,28.0,7.0,2,784.0,1568,98,3,10,paired-roof,4.406,14.35,31.553
G007,6,7,20.0,28.0,10.5,3,560.0,1680,105,4,8,paired-roof,3.382,10.35,33.166
G008,7,8,28.0,60.0,7.0,2,1680.0,3360,210,8,8,paired-roof,3.945,14.35,28.803
G009,8,9,24.0,20.0,7.0,2,480.0,960,60,2,10,paired-roof,2.822,10.35,28.604
G010,9,10,28.0,20.0,10.5,3,560.0,1680,105,4,8,paired-roof,2.571,10.35,26.419
G011,10,11,20.0,28.0,7.0,2,560.0,1120,70,2,11,paired-roof,2.892,10.35,29.198
G012,11,12,24.0,32.0,7.0,2,768.0,1536,96,3,10,paired-roof,4.172,12.35,34.044
G013,12,13,32.0,20.0,7.0,2,640.0,1280,80,3,8,paired-roof,2.716,10.35,27.692
G014,13,14,36.0,16.0,7.0,2,576.0,1152,72,2,12,roof,4.5,16.7,28.321
G015,14,15,20.0,20.0,10.5,3,400.0,1200,75,3,8,paired-roof,3.076,10.35,30.727
G016,15,16,40.0,24.0,10.5,3,960.0,2880,180,7,8,paired-roof,3.631,12.35,30.456
G017,16,17,32.0,16.0,10.5,3,512.0,1536,96,3,10,roof,4.5,16.7,28.321
G018,17,18,32.0,20.0,10.5,3,640.0,1920,120,4,10,paired-roof,3.202,10.35,31.747
G019,18,19,28.0,16.0,10.5,3,448.0,1344,84,3,9,roof,4.5,16.7,28.321
G020,19,20,40.0,28.0,10.5,3,1120.0,3360,210,8,8,paired-roof,3.989,14.35,29.072
G021,20,21,28.0,20.0,10.5,3,560.0,1680,105,4,8,paired-roof,2.539,10.35,26.134
G022,21,22,52.0,20.0,10.5,3,1040.0,3120,195,7,9,paired-roof,3.378,10.35,33.135
G023,22,23,56.0,28.0,10.5,3,1568.0,4704,294,11,8,paired-roof,4.5,14.35,32.095
G024,23,24,16.0,20.0,10.5,3,320.0,960,60,2,10,hip,4.5,16.7,28.321
G025,24,25,24.0,24.0,7.0,2,576.0,1152,72,2,12,paired-roof,3.908,12.35,32.329
G026,25,26,28.0,20.0,7.0,2,560.0,1120,70,2,11,paired-roof,3.457,10.35,33.744
G027,26,27,44.0,16.0,7.0,2,704.0,1408,88,3,9,roof,4.333,16.7,27.426
G028,27,28,24.0,24.0,10.5,3,576.0,1728,108,4,9,paired-roof,3.555,12.35,29.929
G029,28,29,60.0,16.0,7.0,2,960.0,1920,120,4,10,roof,4.458,16.7,28.097
G030,29,30,56.0,24.0,10.5,3,1344.0,4032,252,10,8,paired-roof,3.409,12.35,28.902
G031,30,31,20.0,28.0,7.0,2,560.0,1120,70,2,11,paired-roof,3.088,10.35,30.825
G032,31,32,28.0,20.0,7.0,2,560.0,1120,70,2,11,paired-roof,2.998,10.35,30.085
G033,32,33,16.0,56.0,10.5,3,896.0,2688,168,6,9,roof,4.094,16.7,26.119
G034,33,34,20.0,28.0,10.5,3,560.0,1680,105,4,8,paired-roof,2.676,10.35,27.344
G035,34,35,20.0,20.0,10.5,3,400.0,1200,75,3,8,paired-roof,3.222,10.35,31.907
G036,35,36,28.0,16.0,10.5,3,448.0,1344,84,3,9,roof,4.138,16.7,26.362
G037,36,37,28.0,20.0,10.5,3,560.0,1680,105,4,8,paired-roof,2.837,10.35,28.732
G038,37,38,32.0,28.0,7.0,2,896.0,1792,112,4,9,paired-roof,4.5,14.35,32.095
G039,38,39,36.0,20.0,10.5,3,720.0,2160,135,5,9,paired-roof,2.841,10.35,28.766
G040,39,40,32.0,20.0,7.0,2,640.0,1280,80,3,8,paired-roof,3.182,10.35,31.586
G041,40,41,24.0,20.0,10.5,3,480.0,1440,90,3,10,paired-roof,3.018,10.35,30.25
G042,41,42,36.0,24.0,10.5,3,864.0,2592,162,6,9,paired-roof,3.235,12.35,27.649
G043,42,43,40.0,24.0,10.5,3,960.0,2880,180,7,8,paired-roof,4.111,12.35,33.654
G044,43,44,40.0,24.0,10.5,3,960.0,2880,180,7,8,paired-roof,3.193,12.35,27.343
G045,44,45,36.0,24.0,7.0,2,864.0,1728,108,4,9,paired-roof,4.144,12.35,33.865
G046,45,46,20.0,20.0,10.5,3,400.0,1200,75,3,8,paired-roof,2.837,10.35,28.732
G047,46,47,60.0,24.0,10.5,3,1440.0,4320,270,10,9,paired-roof,3.922,12.35,32.421
G048,47,48,48.0,28.0,10.5,3,1344.0,4032,252,10,8,paired-roof,3.676,14.35,27.128
G049,48,49,20.0,24.0,7.0,2,480.0,960,60,2,10,paired-roof,3.092,10.35,30.858
G050,49,50,28.0,16.0,10.5,3,448.0,1344,84,3,9,roof,4.013,16.7,25.669
G051,50,51,52.0,20.0,10.5,3,1040.0,3120,195,7,9,paired-roof,3.347,10.35,32.893
G052,51,52,24.0,24.0,10.5,3,576.0,1728,108,4,9,paired-roof,3.367,12.35,28.602
